CTR;Steer
0.7598;-1.63395
0.7598;-0.11473
0.7598;-0.11511
0.7598;-0.11549
0.7594;-0.115009
0.7589;-0.115114
0.758;-0.114558
0.7567;-0.113941
0.7553;-0.113909
0.7537;-0.113646
0.7512;-0.111846
0.7481;-0.110555
0.745;-0.110463
0.7414;-0.109293
0.7329;-0.0985849
0.7284;-0.106274
0.7221;-0.10209
0.7147;-0.0991375
0.7044;-0.0921447
0.6928;-0.0881511
0.6797;-0.0835259
0.6676;-0.0840448
0.6572;-0.0862134
0.6459;-0.0830413
0.5587;0.0815594
0.5394;-0.0516154
0.539;-0.0896249
0.5398;-0.0924147
0.5306;-0.0713001
0.5164;-0.0594283
0.5046;-0.0627106
0.4895;-0.0540903
0.4725;-0.0479765
0.4503;-0.0344717
0.4258;-0.0264096
0.3962;-0.0119677
0.3737;-0.0229795
0.2937;0.103874
0.2745;-0.0149837
0.2631;-0.0290052
0.2582;-0.0413993
0.2484;-0.0302535
0.2241;0.00227945
0.2156;-0.0281534
0.2035;-0.0192401
0.1884;-0.0110693
0.1725;-0.00717055
0.157;-0.00572405
0.145;-0.0109965
0.1318;-0.00668245
0.115;0.00298005
0.1053;-0.0098176
0.0969;-0.011206
0.1428;-0.126762
0.1888;-0.133957
0.2216;-0.112588
0.2021;-0.0051637
0.1745;0.0150891
0.1471;0.0187255
0.1204;0.0212703
0.1027;0.00587395
0.0892;-0.00054565
0.0673;0.0195057
0.0609;-0.0105648
0.0593;-0.0199544
0.0598;-0.0242593
0.06;-0.0237193
0.0592;-0.0216289
0.0576;-0.0198177
0.056;-0.0196057
0.0542;-0.0189628
0.0501;-0.0137729
0.0678;-0.0600617
0.2082;-0.326626
0.2572;-0.151304
0.2642;-0.0684866
0.1899;0.105163
0.1074;0.133885
0.0481;0.0963557
0.0246;0.0282684
0.0124;0.00749225
0.0053;-0.0016454
0.0036;-0.0121922
0.0106;-0.0306475
0.0217;-0.0405233
0.0282;-0.0323124
0.0489;-0.0638419
0.0998;-0.131927
0.176;-0.194045
0.2116;-0.118291
0.2114;-0.0467663
0.171;0.0396082
0.1364;0.03313
0.0956;0.0516022
0.0493;0.0695226
0.03;0.0184025
0.0172;0.00731395
0.0145;-0.0124883
0.0218;-0.0335942
0.0298;-0.0362091
0.045;-0.0529116
0.052;-0.0375876
0.0615;-0.0440434
0.0997;-0.107223
0.1559;-0.151731
0.1811;-0.0936017
0.1059;0.118425
0.0074;0.179797
-0.0567;0.12064
-0.1173;0.122789
-0.1348;0.0392811
-0.1293;-0.0074793
-0.1021;-0.0549082
-0.0648;-0.0806708
0.0774;-0.31184
0.1464;-0.175863
0.2094;-0.173417
0.2628;-0.162359
0.2521;-0.0326799
0.2073;0.0421364
0.1281;0.122752
0.0591;0.112673
0.0139;0.0718459
-0.0229;0.0605774
-0.0381;0.0196764
-0.0379;-0.0111346
-0.0202;-0.0487795
0.0056;-0.0688523
0.0326;-0.0753186
0.0658;-0.0927315
0.1228;-0.148943
0.1642;-0.124035
0.1842;-0.0843271
0.1758;-0.0263551
0.1375;0.0391212
0.0916;0.0611604
0.0372;0.0863018
-0.0034;0.0647935
-0.0201;0.0195086
-0.013;-0.0291499
0.0086;-0.0613942
-0.0675;0.145455
0.1701;-0.517671
0.3163;-0.356959
0.4452;-0.341916
0.466;-0.129069
0.3949;0.0651983
0.2749;0.180861
0.1398;0.231256
0.0223;0.21367
-0.0754;0.188762
-0.0891;0.022862
-0.0629;-0.0608366
-0.0051;-0.132704
